SITE_ID,SysID,SiteName,NE_ID,NE_Name,FE_ID,FE_Name,HOP_ID_ DETAIL
MGR001,MGR001MD1,Manggar,MGR001,Manggar,MGR003,Gantung,MGR001<>MGR003_IPASO400_TELKOMSEL_150_7687
MGR001,MGR001MD1,Manggar,MGR003,Gantung,MGR012,Tanjung Batu Itam,MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
MGR001,MGR001MD1,Manggar,MGR012,Tanjung Batu Itam,MGR011,Dendang Belitung,MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
MGR001,MGR001MD1,Manggar,MGR011,Dendang Belitung,TJN010,Membalong,MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
MGR001,MGR001MD1,Manggar,TJN010,Membalong,TJN008,Pangkal Dudat Rep,TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
MGR001,MGR001MD1,Manggar,TJN008,Pangkal Dudat Rep,TJN012,Tanjung Pandan 3,TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
MGR001,MGR001MD1,Manggar,TJN012,Tanjung Pandan 3,TJN002,Tanjung Pandan II,TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
MGR002,MGR002MD1,Kelapa Kampit,MGR002,MGR002MD1_TSEL_KelapaKampit,MGR004,Buding,MGR002<>MGR004_MLTN_TELKOMSEL_200_7512
MGR002,MGR002MD1,Kelapa Kampit,MGR004,Buding,TJN027,Kacang Butor,MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
MGR002,MGR002MD1,Kelapa Kampit,TJN027,Kacang Butor,TJN020,Sungai Samak,TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
MGR002,MGR002MD1,Kelapa Kampit,MGR004,Buding,TJN027,Kacang Butor,MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
MGR002,MGR002MD1,Kelapa Kampit,TJN027,Kacang Butor,TJN020,Sungai Samak,TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
